Graph,Nodes,Edges,Density %,Colors,Chromatic Number,GraphSAGE Cost,Error %
anna,138,493,5.215275573891886,11,11,0.0,0.0
jean,77,254,8.680792891319207,10,10,0.0,0.0
myciel5,47,236,21.83163737280296,6,6,0.0,0.0
myciel6,95,755,16.90929451287794,7,7,0.0,0.0
queen5_5,25,160,53.333333333333336,5,5,0.0,0.0
queen6_6,36,290,46.03174603174603,7,8,1.0,0.3448275862068966
queen7_7,49,476,40.47619047619048,7,12,8.0,1.680672268907563
queen8_8,64,728,36.11111111111111,9,13,7.0,0.9615384615384616
queen8_12,96,1368,30.0,12,14,4.0,0.2923976608187134
queen9_9,81,1056,32.592592592592595,10,12,4.0,0.3787878787878788
queen11_11,121,1980,27.27272727272727,11,23,22.0,1.1111111111111112

